SUBD_DESC,median_price,n_parcels,median_size,median_dur_owned
HORTON WDS PH 1 SEC 1,119500,32,0.344,13.2986301369863
HOUNDS EAR,0,20,0.8835,19.2712328767123
HPVL CC BLK J-K-W REV,327250,30,0.579,17.0684931506849
HPVL CC GOLF COURSE,0,9,5.653,23.4027397260274
HPVL CC S-05,1480000,7,0.849,14.9753424657534
HPVL CC S-07,190000,27,0.635,21.9315068493151
HPVL CC S-09,266250,16,0.918,6.2
HPVL CC SHT 01,0,43,0.495,16.3780821917808
HPVL CC SHT 02,527500,32,0.656,16.9657534246575
HPVL CC SHT 03,520000,41,0.8,16.1479452054795
HPVL CC SHT 04,160000,35,0.807,17.7986301369863
HPVL DOWNS P-01,167000,4,0.1575,9.83287671232877
HPVL DOWNS P-02,245500,18,0.154,11.213698630137
HPVL DOWNS P-03,275000,29,0.152,5.64383561643836
HPVL FRMS POD BB,0,1,18.595,10.7205479452055
HPVL FRMS POD BB-2,362500,4,1.5295,
HPVL FRMS POD MM-4 TW,175000,148,0.029,3.87945205479452
HPVL FRMS POD V--2,25000,1,17.216,0.805479452054795
HPVL FRMS POD W TW,178750,96,0.025,3.08356164383562
HPVL FRMS POD X/Y,935000,2,19.8185,10.4520547945205
HPVL FRMS POD Z--1,340000,4,1.4345,14.1794520547945
HPVL FRMS/CARLTN XING P1A,274000,14,0.3265,17.7917808219178
HPVL FRMS/CARLTN XING P1B,270000,19,0.445,19.4602739726027
HPVL FRMS/CARLTN XING P2,312000,9,0.582,12.4712328767123
HPVL FRMS/EAGLE RDG,219500,15,0.446,22.3041095890411
HPVL FRMS/GABLE RDG PH 1,146500,11,0.124,12.6356164383562
HPVL FRMS/GABLE RDG PH 2,143500,68,0.13,8.55616438356164
HPVL FRMS/GAITHERS PT P1A,163000,40,0.1615,13.2164383561644
HPVL FRMS/GAITHERS PT P1B,184000,33,0.164,5.5041095890411
HPVL FRMS/GREYFIELD P-1A,0,10,0.2995,13.4753424657534
HPVL FRMS/GREYFIELD P-1B,252500,14,0.2855,12.7904109589041
HPVL FRMS/GREYFIELD P-2A,208500,11,0.192,19.3931506849315
HPVL FRMS/GREYFIELD P-2B,230000,16,0.212,8.55068493150685
HPVL FRMS/GREYFIELD P-2C,219500,5,0.403,8.80547945205479
HPVL FRMS/GREYFIELD P-3A,215000,19,0.216,17.0890410958904
HPVL FRMS/GREYFIELD P-3B,253000,13,0.256,20.2383561643836
HPVL FRMS/HUNTERS FRST P1,192500,46,0.202,10.0123287671233
HPVL FRMS/HUNTERS FRST P2,204000,35,0.188,3.37534246575342
HPVL FRMS/LINDEN OAKS P-1,202000,29,0.189,5.37534246575343
HPVL FRMS/LINDEN OAKS P-2,215000,19,0.223,7.84520547945206
HPVL FRMS/REGENCY BLUFFS@,386500,9,0.411,7.28767123287671
HPVL FRMS/REGENCY NORTH,353000,15,0.248,6.27671232876712
HPVL FRMS/REGENCY P-1A,234000,16,0.3205,8.85479452054794
HPVL FRMS/REGENCY P-1B,261000,19,0.332,3.03013698630137
HPVL FRMS/REGENCY P-2A,262500,35,0.278,11.213698630137
HPVL FRMS/REGENCY P-2B,267000,17,0.323,12.7287671232877
HPVL FRMS/REGENCY P-3,348750,10,0.609,1.72328767123288
HPVL FRMS/SULLIVN TRCE P1,159250,64,0.121,9.17808219178082
HPVL FRMS/SULLIVN TRCE P2,142000,50,0.149,11.0520547945205
HPVL FRMS/WILTSHIRE,156000,40,0.119,5.2986301369863
HPVL FRST S-01,0,53,0.276,23.4027397260274
HPVL FRST S-02,0,21,0.294,7.22191780821918
HPVL FRST S-05,0,7,0.299,23.4027397260274
HPVL FRST S-07,0,24,0.288,23.4027397260274
HPVL GREEN P-01,247000,11,0.306,18.1260273972603
HPVL GREEN P-02,277000,27,0.311,10.8794520547945
HPVL GREEN P-03,285000,13,0.272,7.0054794520548
HPVL GREEN P-04,252500,16,0.254,11.5424657534247
HPVL NEW 02 P-05,428500,31,0.509,6.16986301369863
HPVL NEW 02 P-06,0,6,0.512,23.4027397260274
HPVL NEW 02 P-07,543000,20,0.688,12.386301369863
HPVL NEW S-01,0,19,0.489,23.4027397260274
HPVL NEW S-02,488500,8,0.521,14.7547945205479
HPVL NEW S-03,425000,15,0.489,16.8876712328767
HPVL NEW S-04,597500,2,0.5305,
HPVL NEW S-05,360000,22,0.6345,23.4027397260274
HPVL NEW S-06,380000,15,0.53,23.4027397260274
HPVL NORTH S-01,0,53,0.236,23.4027397260274
HPVL NORTH S-02,98500,28,0.279,15.4767123287671
HPVL NORTH S-03,112000,29,0.277,18.3835616438356
HPVL NORTH S-04,0,8,0.311,23.4027397260274
HPVL NORTH S-05,70250,32,0.2795,12.2958904109589
HPVL NORTH S-06,115000,25,0.26,23.4027397260274
HPVL RIDGE,320000,5,0.292,3.53150684931507
HPVL RIDGE TWHMS,239250,6,0.047,3.38356164383562
HPVL WEST S-01,396000,17,0.41,8.38904109589041
HPVL WEST S-02,312500,14,0.431,13.127397260274
HPVL WEST S-03,402500,18,0.4135,17.8123287671233
HPVL WEST S-04,330000,11,0.464,14.7041095890411
HPVL WEST S-05,0,31,0.428,23.313698630137
HPVL/CRESCENT OF,145000,39,0.46,14.8027397260274
HPVL/GREENBRIAR P-1 S-2,180000,39,0.178,19.1452054794521
HPVL/GREENBRIAR P-2 S-1,206750,16,0.1795,18.8849315068493
HPVL/GREENBRIAR P-2 S-2,166750,26,0.15,23.4027397260274
HPVL/HEATHERWOOD P01 S01,2e+05,15,0.234,23.4027397260274
HPVL/HEATHERWOOD P01 S02,243750,22,0.261,9.62328767123288
HPVL/HEATHERWOOD P02,0,33,0.246,23.4027397260274
HPVL/NORTON SEC/BLK ABCD,375000,75,0.682,16.1397260273973
HPVL/OAKBROOK PH 1,0,19,0.269,22.9780821917808
HPVL/OAKBROOK PH 2,215500,28,0.2535,10.5041095890411
HPVL/SPRING MEADOW PH 1,169250,40,0.1885,6.47123287671233
HPVL/SPRING MEADOW PH 2-A,205000,7,0.156,0.873972602739726
HPVL/SPRING MEADOW PH 2-B,202000,28,0.1595,3.21917808219178
HPVL/THE OAKS P-01,110000,15,0.035,15.6301369863014
HPVL/THE OAKS P-02,138000,17,0.035,1.54246575342466
HPVL/THE OAKS P-03,150500,7,0.036,12.258904109589
HPVL/THE OAKS P-04,131000,15,0.036,1.62465753424658
HPVL/THE OAKS P-05,114750,8,0.0355,12.9657534246575
HPVL/VAN TRINE PRK,455000,23,0.596,7.61917808219178
HPVL/VAN TRINE PRK 2,67500,4,0.5605,12.4260273972603
HPVL/WYNSTEAD P1,227000,45,0.142,3.59041095890411
HPVL/WYNSTEAD P1/ALBEN ST,237000,13,0.158,1.11506849315068
HUCKLEBERRY HGHTS,101500,96,0.412,16.372602739726
HUCKLEBERRY HGHTS ANX #1,69500,8,0.3455,2.38904109589041
HUCKLEBERRY HGHTS ANX #3,0,30,0.5005,18.6520547945206
HUCKLEBERRY HGHTS EXT 2,0,22,0.5485,14.8506849315069
HUNT CONST CO,80500,28,0.2155,12.4342465753425
HUNTERS WOOD SEC 1,0,15,0.758,15.1767123287671
HUNTERS WOOD SEC 2,0,10,0.818,12.6027397260274
HUNTERS WOOD SEC 3,246000,16,0.8485,14.7013698630137
HUNTERS WOOD SEC 4,256500,6,0.705,23.4027397260274
HUNTERS WOOD SEC 5,0,19,0.762,23.4027397260274
HUNTERS WOOD SEC 6,0,22,0.739,23.4027397260274
HUNTINGTON DEV CO,440750,4,0.14,7.43287671232877
HUNTINGTON PLC SEC 1,0,11,0.461,19.3972602739726
HUNTINGTON PLC SEC 2,0,34,0.4665,18.5643835616438
HUNTINGTON PLC SEC 3,160000,7,0.462,8.66164383561644
HUNTINGTON PLC SEC 4,90000,21,0.459,17.8027397260274
HUNTINGTON RDG PH 1 SEC 1,330000,13,0.236,12.9616438356164
HUNTINGTON RDG PH 1 SEC 2,388000,13,0.226,2.04383561643836
HUNTINGTON RDG PH 2 SEC 1,345000,27,0.237,7.2958904109589
HUNTINGTON RDG PH 2 SEC 2,350000,21,0.238,5.63972602739726
HUNTINGTON RDG PH 3 SEC 1,339750,38,0.231,7.64109589041096
HUNTINGTON RDG PH 3 SEC 2,405750,6,0.2855,14.4821917808219
HUNTINGTON VLY,750000,84,0.297,0.136986301369863
HUNTINGTON VLY SEC 1,750000,24,0.3705,0.136986301369863
HUNTLEY/PH 01,369750,30,0.1535,2.3013698630137
HUNTLEY/PH 02,3300000,29,0.165,1.8027397260274
HUSKETT ACRES,0,58,0.4995,20.2986301369863
HYDE PRK,23500,61,0.184,9.78767123287671
I-LOFT CD/UT 100-200-300,0,1,9.209,17.627397260274
IDLEWOOD,0,15,0.464,23.4027397260274
IDLEWOOD SEC 2,241000,11,0.581,4.61643835616438
IDLEWOOD SEC 3,220000,13,0.492,3.75068493150685
INDEP DENTAL ASSOC CONDOS,0,3,0,
INGLENOOK,232000,10,0.233,0.956164383561644
INGLENOOK PH 2,0,4,0.269,12.1794520547945
INNISFREE TWNHMS PH 01,241500,4,0.1185,13.6027397260274
INNISFREE TWNHMS PH 02,224000,5,0.099,15.0082191780822
INNISFREE TWNHMS PH 03,220000,5,0.099,20.8095890410959
INNISFREE TWNHMS PH 04,289000,5,0.116,12.3479452054795
INNISFREE TWNHMS PH 05,232000,5,0.081,3.96438356164384
INNISFREE TWNHMS PH 06,267500,4,0.1085,8.59178082191781
INNISFREE TWNHMS PH 07,240000,5,0.108,1.04657534246575
INNISFREE TWNHMS PH 08,253500,6,0.1105,9.3013698630137
INNISFREE TWNHMS PH 09,232500,4,0.1115,
INVSTMT CORP OF DURHAM,0,9,0.209,
IRA SPARROW HOME,0,1,0.434,7.14520547945206
IRONGATE ACRES,0,28,1.93,23.4027397260274
IRONGATE ACRES SEC 2,154000,7,1.159,23.4027397260274
IRVINWOOD SEC 1,0,36,0.5135,23.4027397260274
IRVINWOOD SEC 2,0,50,0.4855,23.4027397260274
IVANHOE SEC 1,88000,17,0.424,20.6438356164384
IVANHOE SEC 2,0,37,0.391,20.4
IVANHOE SEC 3,134750,22,0.4015,17.8041095890411
IVANHOE SEC 4,132500,22,0.418,22.8452054794521
IVANHOE SEC 5,139000,49,0.382,10.041095890411
IVANHOE WEST SEC 1,131250,12,0.373,5.40684931506849
JORDAN @ SOUTHPT,0,6,2.8115,
JORDAN @ SOUTHPT/PH 01,429000,25,0.216,2.38630136986301
JORDAN @ SOUTHPT/PH 02,370000,52,0.1785,3.74657534246575
JORDAN @ SOUTHPT/PH 3&4,420000,48,0.1815,2.70958904109589
JOYLAND HGHTS,9500,82,0.296,17.8027397260274
JUA VALLEY,0,6,0.3485,23.4027397260274
JUBILEE LANE SUB,76500,21,0.21,20.7150684931507
JUNCTION ROAD,125000,37,0.158,6.78767123287671
JUST-US MORTGAGE CO,0,9,0.307,12.1452054794521
KENCROFT SEC 1,0,13,0.679,23.4027397260274
KENWOOD ACRES SEC 1,125500,28,0.551,10.7123287671233
KENWOOD ACRES SEC 2,156000,16,0.553,15.3808219178082
KERLINGTON SEC 1,0,3,4.039,19.0493150684932
KERLINGTON SEC 2,0,3,2.407,23.4027397260274
KINGSLEY ESTATES,492500,20,0.4675,6.5041095890411
KINGSLEY WDS TWNHMS,119500,19,0.081,11.1424657534247
KIRKWOOD SEC 1,0,21,0.481,17.2849315068493
KIRKWOOD SEC 2,0,69,0.505,13.1328767123288
KITT CRK OFC PK CD LT-2,37500,10,0,11.7287671232877
KITT CRK OFC PK CD LT-3,169000,14,0,15.2301369863014
KITT CRK OFC PK CD LT-4,0,14,0,7.12602739726027
KNIGHTSBRIDGE,151250,14,0.1415,14.3835616438356
KNOLLCREST,0,25,0.335,16.7205479452055
KNOLLCREST EXT,0,5,1.101,23.4027397260274
KNOLLWOOD REVISED,0,51,0.481,23.4027397260274
KRAMER HGHTS,16000,6,0.7795,6.89178082191781
LAKE PRK SEC 1,207000,11,0.703,23.4027397260274
LAKE PRK SEC 2,191000,18,0.7265,20.3164383561644
LAKE PRK SEC 3,80000,8,0.807,23.4027397260274
LAKE PRK SEC 4,67750,8,0.715,23.0438356164384
LAKE PRK SEC 5,131000,22,0.889,23.4027397260274
LAKE VLG TW S2 BLK F-G-S,185000,9,0.058,10.6698630136986
LAKE VLG TW S2 BLK J-L,195500,6,0.0585,2.79452054794521
LAKE VLG TW S2BLK H-I-K-T,182500,12,0.059,5.87945205479452
LAKEHURST PH 1 SEC 1,295000,11,0.441,10.7835616438356
LAKEHURST PH 1 SEC 2,252500,49,0.297,13.2849315068493
LAKEHURST PH 2 SEC 1,250750,16,0.2685,13.1794520547945
LAKEHURST PH 2 SEC 2,294750,20,0.332,21.1041095890411
LAKEHURST PH 2 SEC 3,227750,14,0.4045,12.2575342465753
LAKEHURST PNT PH 1,317000,18,0.36,11.3849315068493
LAKEHURST PNT PH 2,283000,43,0.262,5.05890410958904
LAKESHORE/PH:01A&1B,288500,54,0.1505,0.905479452054795
LAKESHORE/PH:1C 1D 1E 1F,299500,59,0.162,0.298630136986301
LAKEVIEW,56500,6,0.4635,9.23287671232877
LAKEVIEW PARK,32500000,2,2.146,
LAKEWD PRK PLC/WRIGHT PRP,64500,83,0.266,14.3027397260274
LAKEWD PRK/PERDUE J A LND,0,19,0.283,23.1041095890411
LAKEWOOD HILLS,240000,5,0.231,3.16438356164384
LAKEWOOD RESIDENTIAL/PH:1,454250,6,0.2595,0.545205479452055
LANDMARK,13000,12,0.265,14.0602739726027
LANDON FRMS @ CRKSDE P1-B,149000,32,0.188,7.95342465753425
LANDON FRMS @ MEDOWS P1-A,115000,48,0.1345,11.1260273972603
LANDON FRMS P2-A/P4-A,126000,36,0.135,12.2095890410959
LANDON FRMS P2-B,166000,22,0.205,5.78082191780822
LANDON FRMS P3-A,127500,22,0.131,11.5547945205479
LANDON FRMS P3-B,148750,30,0.2035,5.33835616438356
LANDON FRMS P4-B,132000,21,0.21,4.56986301369863
LANDON FRMS P5-A,125000,21,0.13,5.36164383561644
LANDON FRMS P6-A/P7-A,135500,46,0.1455,2.67397260273973
LANDON FRMS P8-A,123000,37,0.161,5.63150684931507
LANTERN WDS PH 1,0,13,0.185,23.4027397260274
LANTERN WDS PH 2,0,7,0.169,23.4027397260274
LASSITER STREET,164000,29,0.169,6.28493150684932
LASSITER STREET RECOMB,133000,14,0.1935,8.78630136986301
LATTA WOODS CLUSTER,200500,52,0.233,10.9698630136986
LATTAMOOR PH 01,163750,44,0.1405,10.8808219178082
LATTAMOOR PH 02,164750,52,0.149,10.458904109589
LAUREL GLEN PH 01,151000,7,0.315,15.2643835616438
LAUREL GLEN PH 02 SEC A,153000,14,0.2835,13.3095890410959
LAUREL GLEN PH 03,160000,22,0.3675,3.62328767123288
LAUREL HLS,0,20,0.477,7.83013698630137
LAUREL VLG,150750,38,0.184,6.27671232876712
LAWNDALE ACRES,0,44,0.2265,22.0150684931507
LAWRENCE COTTON MILLS,3e+05,9,0.124,12.6246575342466
LEATHERWOOD,0,11,0.589,14.7232876712329
LEBANON ACRES SEC 2,5000,51,0.702,10.0945205479452
LENNOX PH 02,173000,25,0.265,13.2547945205479
LENNOX SEC 1,198000,27,0.225,7.88219178082192
LENOX EAST & WEST-----/AP,565000,3,6.287,14.7972602739726
LIBERTY PARK,0,33,0.149,13.3095890410959
LINCOLN HGHTS,0,81,0.285,23.4027397260274
LINCOLN HGHTS/DARK W E,1000,35,0.281,15.7123287671233
LINWOOD HGHTS,0,13,0.126,20.9315068493151
LITTLE ACRES PH 1,191500,12,0.3215,4.40821917808219
LITTLE RV RESORNG FACT VL,5000,1,0.287,
LLOYD ACRES,0,7,0.657,15.6342465753425
LOCHAVEN HLS SEC 1,96000,95,0.481,13.3972602739726
LOCHAVEN HLS SEC 2,23500,68,0.4845,18.2082191780822
LOCHAVEN HLS SEC 3,117500,26,0.459,23.4027397260274
LOCHNORA EXTENSION,333000,18,0.3765,15.886301369863
LOCHNORA SEC 01 PH 01,0,32,0.46,23.4027397260274
LOCHNORA SEC 01 PH 02,1e+05,42,0.355,23.4027397260274
LOCHNORA SEC 02,230000,7,0.46,23.4027397260274
LOCHNORA SEC 03,230500,16,0.4695,15.3835616438356
LOCHNORA SEC 04,0,17,0.459,23.4027397260274
LOCHNORA SEC 05,242000,33,0.409,15.141095890411
LOCHSIDE PH 01 SGL FMLY,208500,50,0.24,4.2027397260274
LOCHSIDE PH 02 TWN,152000,81,0.035,5.96438356164384
LOCHSIDE PH 03 SGL FMLY,245000,73,0.236,4.62191780821918
LOCKELAND,80000,77,0.186,10.3041095890411
LOCKELAND SEC 1,0,115,0.172,17.4
LOCKELAND SEC 2,0,67,0.172,17.813698630137
LOWES GROVE HGHTS,0,11,0.341,5.79178082191781
LOWES GROVE HGHTS EXT,0,45,0.341,11.3013698630137
LOWES GROVE HGHTS EXT 2,40000,3,0.579,
LOYAL GROVE,45500,18,0.4425,10.1397260273973
LTA PARTNERSHIP,26500,8,0.218,18.9739726027397
LYCKAN PRK,57500000,8,2.8715,19.5452054794521
LYNN HOLLOW    PH 01,128750,32,0.1275,7.61369863013699
LYNN HOLLOW    PH 02,166500,22,0.131,1.28493150684932
LYNN HOLLOW    PH 03,139250,28,0.119,14.3698630136986
LYNN HOLLOW    PH 04,137000,11,0.116,14.2356164383562
LYNN HOLLOW 02 PH 01,142250,28,0.118,10.2561643835616
LYNN HOLLOW 02 PH 02,164250,20,0.109,13.6328767123288
LYNNS CROSS ROAD,0,11,0.806,6.55068493150685
LYNNWOOD PRK,0,62,0.43,11.8904109589041
LYNNWOOD PRK ANX,0,27,0.367,23.4027397260274
LYONS FARM,245000,102,0.2385,6.71643835616438
LYONS PRK,50000,117,0.115,10.5397260273973
MACKENZIE PLC TWHMS PH 01,164500,10,0.0345,4.86575342465754
MACKENZIE PLC TWHMS PH 02,186000,4,0.035,6.49315068493151
MACKENZIE PLC TWHMS PH 03,153500,4,0.0355,10.2506849315069
MACKENZIE PLC TWHMS PH 04,145000,6,0.028,13.3835616438356
MACKENZIE PLC TWHMS PH 05,213500,3,0.042,0.808219178082192
MACKENZIE PLC TWHMS PH 06,71500,4,0.0345,4.87808219178082
MACKENZIE PLC TWHMS PH 07,182000,3,0.029,2.37260273972603
MACKENZIE PLC TWHMS PH 08,183000,3,0.036,4.88493150684932
MACKENZIE PLC TWHMS PH 09,159500,4,0.0365,6.2958904109589
MACWOOD ACRES SEC 1,0,7,0.457,10.0561643835616
MADISON CENTRE CONDOS,0,1,2.523,
MADISON GLEN 2 PH 01,180500,31,0.16,10.3794520547945
MADISON GLEN 2 PH 02-03,190000,63,0.143,8.37534246575343
MAGNOLIA CONDOS,295000,6,0,5.8
MAGNOLIA CREEK/PH 1A,239000,58,0.215,0.964383561643836
MAGNOLIA CREEK/PH 2&3,136000,53,0.148,1.46027397260274
MAGNOLIA PLACE PH 01,238500,9,0.292,5.04109589041096
MAGNOLIA PLACE PH 02,230000,101,0.22,11.758904109589
MANCHESTER CONDOS,0,1,0.239,20.4027397260274
MANGUM HGHTS SEC 1,0,4,1.773,23.4027397260274
MAPLE COURT-----------/AP,290000,2,3.624,9.88493150684931
MAPLEWOOD CEMETERY,0,5,0.383,23.4027397260274
MARBREY LANDING PH 1,137500,26,0.236,4.45205479452055
MARBREY LANDING PH 2-3,145000,23,0.248,10.3753424657534
MARBREY LANDING PH 4-5,122500,20,0.2305,6.27671232876712
MARBREY LANDING PH 6-7,143000,32,0.236,11.5534246575342
MARBREY LANDING PH 8-9-10,144000,43,0.231,4.88493150684932
MARJAN BLK A-F-G,0,15,0.652,23.4027397260274
MARJAN BLK D-H-I-J,195000,20,0.623,20.958904109589
MARJAN BLK E-F-G,182000,17,0.772,13.6465753424658
MARJAN BLK F-G,60000,23,0.499,18.0547945205479
MARKHAM PLACE,67750,64,0.229,20.4684931506849
MARKHAM TERRACE,179000,30,0.31,7.24520547945206
MARKHAM TERRACE SEC 01,77000,32,0.4845,23.4027397260274
MARYDELL ESTATES BLK F,526500,3,0.598,9.71232876712329
MARYDELL ESTATES SEC 1,295000,30,0.509,23.4027397260274
MARYDELL ESTATES SEC 2,186250,10,0.5035,14.558904109589
MARYDELL ESTATES SEC 4-B,375000,3,0.459,
MARYDELL ESTATES SEC 4-C,370500,23,0.467,23.4027397260274
MARYDELL ESTATES SEC 5,336000,19,0.499,15.641095890411
MARYWOOD SEC 1,82500,22,0.942,23.4027397260274
MARYWOOD SEC 2,0,28,0.793,23.4027397260274
MASON DRIVE DEV,0,23,0.408,17.1
MASON MANOR SEC 1,33750,28,0.76,17.1342465753425
MASON WDS SEC 1,100750,42,0.492,18.3945205479452
MCARTHUR HGHTS,0,80,0.27,19.3095890410959
MCCRACKEN PLC PH 2,0,8,0.038,23.4027397260274
MEADOW CREST PH 1,0,21,0.257,23.4027397260274
MEADOWDOWN,255000,7,0.973,23.4027397260274
MEADOWS @ SOUTHPT TW PH01,316000,83,0.083,2.66986301369863
MEADOWS @ SOUTHPT TW PH02,321750,98,0.0665,2.04383561643836
MEADOWS AT COLONY PARK,501500,37,0.258,0.947945205479452
MEADOWS NORTH,245500,186,0.062,2.17808219178082
MEDICAL/DENTAL CONDO ASC,0,1,1.812,
MELBROOK SEC 1,71000,26,0.4665,12.886301369863
MERIDIAN BUSINESS CAMPUS,9936500,17,7.099,4.28767123287671
MERIDIAN TOWNHOMES,209000,112,0.038,2.97534246575342
MERRICK MCDOUGALD SPAULDG,313000,6,0.138,0.879452054794521
MERRICKVILLE,34250,48,0.2275,16.9342465753425
MERRICKVILLE PROP/L0T 136,0,11,0.162,2.2958904109589
MIDLAND TERRACE,34250,4,0.2445,23.4027397260274
MILAN WDS PH 1,122000,42,0.215,21.0479452054795
MILAN WDS PH 1 MAP 2,121500,34,0.2025,22.9383561643836
MILAN WDS PH 3 SEC 2A,122000,25,0.234,18.3095890410959
MILAN WDS PH 3 SEC 2B,115500,24,0.2845,23.4027397260274
MILAN WDS PH 3 SEC B,134250,8,0.2175,1.03287671232877
MILAN WDS PH 3 SEC C,135000,13,0.224,17.7178082191781
MILAN WDS PH 3 SEC D,750,30,0.2355,22.1479452054795
MILAN WDS PH 4 SEC A,119000,31,0.202,18.2164383561644
MILAN WDS PH 4 SEC B,0,29,0.236,16.4739726027397
MILES M FISHER HGHTS S-01,0,21,0.165,23.4027397260274
MILES M FISHER HGHTS S-02,0,25,0.185,17.4
MILES M FISHER HGHTS S-03,0,29,0.189,23.3178082191781
MILES M FISHER HGHTS S-04,0,27,0.165,23.4027397260274
MILES M FISHER HGHTS S-07,0,14,0.2095,23.4027397260274
MILES M FISHER HGHTS S-08,0,21,0.219,23.4027397260274
MILES M FISHER HGHTS S-09,0,25,0.189,20.4027397260274
MILES M FISHER HGHTS S-10,0,15,0.296,23.4027397260274
MILES M FISHER HGHTS S-11,24250,14,0.2515,23.4027397260274
MILL GROVE PRK,0,100,0.459,17.4
MILTON FRST,93000,25,0.817,13.0027397260274
MILTON FRST SEC 3,90000,49,0.768,18.1013698630137
MILTON FRST SEC 4,2000,21,0.912,23.4027397260274
MILTON FRST SEC 5,1750,44,0.6915,23.4027397260274
MINERAL SPRINGS RD ACRES,0,11,0.551,14.2123287671233
MINERAL SPRINGS RD DEV CO,0,22,0.4965,18.1232876712329
MINERVA AVENUE CONDOS,180000,5,0,10.6821917808219
MINERVA MEWS CONDOS,0,3,0,15.3972602739726
MIRIAM CR PROP OF INVCORP,0,27,0.267,22.686301369863
MISTLETOE HLS,10000,75,0.778,17.9
MISTLETOE HLS SEC 2,33750,48,2.366,22.3041095890411
MISTY RDG,0,12,0.7505,14.5397260273973
MONTROSE NORTH PH 1,157500,6,0.077,12.2301369863014
MONTROSE NORTH PH 2/3/4/5,142500,10,0.1145,18.4
MONTROSE NORTH PH 6,0,3,0.169,23.4027397260274
MONTROSE NORTH PH 7,191500,4,0.2145,7.05753424657534
MONTROSE NORTH PH 8,113750,4,0.218,23.4027397260274
MONTVALE,105000,24,0.714,23.4027397260274
MOREHEAD AVE CD/UT 101-08,180000,9,0,
MORNINGSIDE HGHTS,55500,10,0.2145,12.0013698630137
MOSELEY PLACE CONDOS,8750,1,0.47,30.9095890410959
MOSSDALE,42250,40,0.311,17.513698630137
MUIRFIELD VLG TW,159500,90,0.0575,6.21506849315069
MUIRFIELD VLG TW LT010218,150500,6,0.089,7.7986301369863
MULBRY PK TW CMNTY/001-10,202500,10,0.037,2.87260273972603
MULBRY PK TW CMNTY/011-31,193000,21,0.037,4.53835616438356
MULBRY PK TW CMNTY/072-78,202500,7,0.045,2.75479452054795
MULBRY PK TW CMNTY/079-85,192500,7,0.05,7.0027397260274
MULBRY PK TW CMNTY/091-02,192000,12,0.05,6.79178082191781
MULBRY PK TW CMNTY/103-09,208000,7,0.05,3.55068493150685
MULBRY PK TW CMNTY/117-23,229500,7,0.037,3.62602739726027
MULBRY PK TW CMNTY/124-37,206000,14,0.037,4.47397260273973
MULBRY PK TW CMNTY/138-58,206000,21,0.037,4.5027397260274
MULBRY PK TW CMNTY/159-65,195000,7,0.05,5.41643835616438
MULBRY PK TW CMNTY/166-79,222000,10,0.037,2.21095890410959
MULBRY PK TW CMNTY/P1,199000,32,0.05,5.8054794520548
MULBRY PK TW CMNTY/P2,0,2,7.6825,14.2246575342466
MYERS PRK,2000,28,0.459,23.4027397260274
MYERS PRK SEC 2,0,6,0.459,23.4027397260274
MYERS PRK SEC 3,0,7,0.468,23.4027397260274
MYRTLE WDS SUB,133000,13,0.231,15.2178082191781
N/A - NO SUBDIVISION,0,10876,0.629,18.4
NC COLLEGE PROJECT,0,14,0.2,23.4027397260274
NEAL ACRES SEC 1,0,4,0.4785,3.38904109589041
NEALS RANCH,0,28,0.462,23.4027397260274
NEW AMERICAN HSE - DURHAM,2e+05,5,2.697,6.33698630136986
NEW FRST HLS SEC 1,150000,9,0.351,16.8123287671233
NEW HMS & MISNARY BAP CH,0,22,0.456,23.4027397260274
NEW HOPE RLTY CO,0,1,0.161,23.3835616438356
NEW HOPE RLTY CO SEC 1,120000,47,0.24,16.141095890411
NEW HOPE RLTY CO/RESUB PT,23000,133,0.143,4.54794520547945
NEW HOPE RLTY CO/SOUTH ST,0,69,0.171,12.0630136986301
NEW WORLD CONDOS,0,1,0.716,11.3945205479452
NEWHALL VLG,130500,26,0.13,2.55068493150685
NORFOLK HGHTS,1000,5,0.339,11.5616438356164
NORTH DUKE DENTAL BL CD,202250,4,0,
NORTH DURHAM BUSINESS PRK,0,8,0.5725,23.2109589041096
NORTH EAST HILLS ANX,107000,25,0.278,23.4027397260274
NORTH HAMPTON HLS SEC 1-2,0,11,0.475,13.0561643835616
NORTH HIGHLAND,0,14,0.834,15.2849315068493
NORTH HLS SEC 4,0,28,0.5425,23.4027397260274
NORTH HLS SEC 5,0,4,0.5785,0.882191780821918
NORTH HLS SEC 6,0,4,0.468,19.3917808219178
NORTH HLS SEC 7,0,9,0.516,13.3972602739726
NORTH HLS SEC 8,156500,4,0.659,13.3808219178082
NORTH HLS SEC 9,0,5,0.543,23.4027397260274
NORTH POINTE COMMONS CD,42100000,206,0,
NORTH PRK DEV,0,56,0.69,23.4027397260274
NORTH PRK DEV SEC 2,102000,21,0.536,23.4027397260274
NORTH PRK DEV SEC 2-A,128000,5,0.574,23.4027397260274
NORTH PRK DEV SEC 2-B,120000,11,0.528,20.5506849315069
NORTH PRK DEV SEC 3,55000,4,0.5405,23.4027397260274
NORTHAVEN,0,51,0.465,20.7972602739726
NORTHBROOK BLK A/B,326000,80,0.1455,22.4027397260274
NORTHBROOK SEC 2A,0,55,0.177,23.4027397260274
NORTHBROOK SEC 2B,0,51,0.178,23.4027397260274
NORTHBROOK SEC 2C,0,50,0.187,23.4027397260274
NORTHEAST HLS SEC 1,135000,26,0.466,9.81095890410959
